"Date","Observed","Simulated"
2021-01-01,NA,0.457512133574145
2021-01-02,NA,0.453073090201651
2021-01-03,NA,0.453903830947399
2021-01-04,NA,0.457748238140172
2021-01-05,NA,0.462287603535321
2021-01-06,NA,0.466839775177518
2021-01-07,NA,0.470793893313548
2021-01-08,NA,0.474680620661441
2021-01-09,NA,0.478466224862904
2021-01-10,NA,0.482192682721049
2021-01-11,NA,0.486433259117632
2021-01-12,NA,0.492261754139323
2021-01-13,NA,0.501149767198093
2021-01-14,NA,0.511925807110507
2021-01-15,NA,0.523637013420559
2021-01-16,NA,0.532293853771018
2021-01-17,NA,0.540054902853799
2021-01-18,NA,0.549317486240884
2021-01-19,NA,0.560310010340176
2021-01-20,NA,0.573072934494267
2021-01-21,NA,0.567928002880169
2021-01-22,NA,0.536924686490483
2021-01-23,NA,0.49160932764914
2021-01-24,NA,0.469644671258217
2021-01-25,NA,0.454604636505397
2021-01-26,NA,0.443138575410371
2021-01-27,NA,0.43258924382917
2021-01-28,NA,0.424903094296573
2021-01-29,NA,0.421925911269912
2021-01-30,NA,0.417995341902784
2021-01-31,NA,0.406073472533213
2021-02-01,NA,0.395842310252207
2021-02-02,NA,0.397968280728933
2021-02-03,NA,0.402930867677926
2021-02-04,NA,0.40873771374295
2021-02-05,NA,0.39449212852658
2021-02-06,NA,0.387967371158055
2021-02-07,NA,0.396066931024404
2021-02-08,NA,0.401683993596409
2021-02-09,NA,0.408594116260239
2021-02-10,NA,0.417064667179525
2021-02-11,NA,0.423799498966773
2021-02-12,NA,0.432535224021161
2021-02-13,NA,0.439240004100965
2021-02-14,NA,0.445097468547264
2021-02-15,NA,0.450394293368251
2021-02-16,NA,0.455233332170453
2021-02-17,NA,0.459697035646112
2021-02-18,NA,0.463850880371751
2021-02-19,NA,0.467747095440709
2021-02-20,NA,0.47142730038254
2021-02-21,NA,0.48014734631196
2021-02-22,NA,0.49209174766538
2021-02-23,NA,0.5023190238987
2021-02-24,NA,0.512581618314192
2021-02-25,NA,0.459409116490233
2021-02-26,NA,0.384153716822467
2021-02-27,NA,0.338961445858592
2021-02-28,NA,0.318515251637237
2021-03-01,NA,0.290599180547464
2021-03-02,NA,0.271391739218988
2021-03-03,NA,0.271566732610969
2021-03-04,NA,0.27283304396681
2021-03-05,NA,0.264882001704465
2021-03-06,NA,0.255221638121291
2021-03-07,NA,0.254698479384766
2021-03-08,NA,0.247347784679238
2021-03-09,NA,0.239980896008155
2021-03-10,NA,0.2433675675729
2021-03-11,NA,0.238696552286969
2021-03-12,NA,0.234707211336285
2021-03-13,NA,0.239967394209256
2021-03-14,NA,0.24524381811162
2021-03-15,NA,0.244804498464267
2021-03-16,NA,0.244910252266895
2021-03-17,NA,0.249240619582747
2021-03-18,NA,0.250639193187505
2021-03-19,NA,0.213196634100397
2021-03-20,NA,0.0975213995247593
2021-03-21,NA,0.11502746549965
2021-03-22,NA,0.135018377403509
2021-03-23,NA,0.149915596037255
2021-03-24,NA,0.162892531665448
2021-03-25,NA,0.174293463997791
2021-03-26,NA,0.180430460158454
2021-03-27,NA,0.177201840377777
2021-03-28,NA,0.176462048597261
2021-03-29,NA,0.185149836759645
2021-03-30,NA,0.192236801138958
2021-03-31,NA,0.193962401272953
2021-04-01,NA,0.187785953186096
2021-04-02,NA,0.184693393912546
2021-04-03,NA,0.187735696450743
2021-04-04,NA,0.190106727516819
2021-04-05,NA,0.194874856633891
2021-04-06,NA,0.200205967075223
2021-04-07,NA,0.191718971762475
2021-04-08,NA,0.181181667585367
2021-04-09,NA,0.185493676051094
2021-04-10,NA,0.189549600345174
2021-04-11,NA,0.193664679344799
2021-04-12,NA,0.198021422420691
2021-04-13,NA,0.20347606628052
2021-04-14,NA,0.2089440593785
2021-04-15,NA,0.214664683854982
2021-04-16,NA,0.220559959786848
2021-04-17,10,0.227223266806207
2021-04-18,NA,0.233898575983077
2021-04-19,NA,0.241237152891535
2021-04-20,NA,0.247563253919899
2021-04-21,NA,0.249758544480598
2021-04-22,NA,0.252229745655556
2021-04-23,NA,0.258971931852952
2021-04-24,NA,0.266477636516885
2021-04-25,NA,0.273192007800364
2021-04-26,NA,0.263367764365686
2021-04-27,NA,0.24020591496557
2021-04-28,NA,0.232097274722905
2021-04-29,NA,0.235833209815071
2021-04-30,NA,0.238106858754261
2021-05-01,NA,0.240968572859689
2021-05-02,NA,0.247558519443638
2021-05-03,NA,0.240845536883378
2021-05-04,NA,0.225249240952399
2021-05-05,NA,0.221343809972992
2021-05-06,NA,0.226327558546981
2021-05-07,NA,0.232250941959894
2021-05-08,NA,0.238320995988285
2021-05-09,NA,0.246814562326431
2021-05-10,NA,0.255137938997265
2021-05-11,NA,0.262910317937451
2021-05-12,NA,0.272338309908919
2021-05-13,NA,0.278373518864144
2021-05-14,NA,0.285334223284432
2021-05-15,NA,0.277899741191511
2021-05-16,NA,0.243065783731622
2021-05-17,NA,0.222166431228059
2021-05-18,NA,0.223148183414278
2021-05-19,NA,0.205396138674471
2021-05-20,NA,0.186645276531046
2021-05-21,NA,0.190571552647744
2021-05-22,NA,0.193328338318971
2021-05-23,NA,0.195351104501614
2021-05-24,NA,0.199720521559306
2021-05-25,NA,0.206876138422693
2021-05-26,NA,0.160741844911568
2021-05-27,NA,0.0605708072601672
2021-05-28,NA,0.0861018691169128
2021-05-29,NA,0.0999870984937167
2021-05-30,NA,0.112179828556783
2021-05-31,NA,0.123389679609765
2021-06-01,NA,0.133648873187807
2021-06-02,NA,0.142988906477268
2021-06-03,NA,0.127333327022179
