"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11"
"56" 0.369999999999998 0.955 0.206 0.001175 1.0955 0.0023 14.69 7.55 0.05336772 299.65 0.02179505
"57" 0.154 0.946 0.1962 0.00131 1.0946 0.00221 17.228 7.52 0.050700044 357.58 0.02156746
"58" 0.261999999999999 0.937 0.1864 0.001445 1.0937 0.00212 19.766 7.49 0.048032368 415.51 0.02133987
"59" 0.478 0.928 0.1766 0.00158 1.0928 0.00203 22.304 7.46 0.045364692 473.44 0.02111228
"60" 0.694000000000001 0.919 0.1668 0.001715 1.0919 0.00194 24.842 7.43 0.042697016 531.37 0.02088469
"61" 0.910000000000001 0.91 0.157 0.00185 1.091 0.00185 27.38 7.4 0.04002934 589.3 0.0206571
"62" 0.873999999999998 0.901 0.1472 0.001985 1.0901 0.00176 29.918 7.37 0.037361664 647.230000000001 0.02042951
"63" 0.657999999999999 0.892 0.1374 0.00212 1.0892 0.00167 32.456 7.34 0.034693988 705.16 0.02020192
"64" 0.442 0.883 0.1276 0.002255 1.0883 0.00158 34.994 7.31 0.032026312 763.09 0.01997433
"65" 0.225999999999999 0.874 0.1178 0.00239 1.0874 0.00149 37.532 7.28 0.029358636 821.02 0.01974674
"66" 0.189999999999999 0.865 0.108 0.002525 1.0865 0.0014 40.07 7.25 0.02669096 878.95 0.01951915
"67" 0.406 0.856 0.0981999999999999 0.00266 1.0856 0.00131 42.608 7.22 0.024023284 936.88 0.01929156
"68" 0.621999999999999 0.847 0.0884 0.002795 1.0847 0.00122 45.146 7.19 0.021355608 994.81 0.01906397
"69" 0.838000000000002 0.838 0.0785999999999999 0.00293 1.0838 0.00113 47.684 7.16 0.018687932 1052.74 0.01883638
"70" 0.945999999999999 0.829 0.0688 0.003065 1.0829 0.00104 50.222 7.13 0.016020256 1110.67 0.01860879
"71" 0.730000000000001 0.82 0.059 0.0032 1.082 0.00095 52.76 7.1 0.01335258 1168.6 0.0183812
