"date" "TC.x" "TC.y" "VOL1" "antup" "evol" "X5"
"1" "2020-09-01" 5.5 NA NA NA NA NA
"2" "2020-10-19" 4.8 NA NA NA NA NA
"3" "2021-01-01" NA 6.54843176212914 952.291238736887 8.47139280748206 1069.14058575618 0.6
"4" "2021-01-02" NA 6.56464565283868 953.88903418647 8.45483630117757 1064.84506568126 0.8
"5" "2021-01-03" NA 6.6126961225639 950.478973127417 8.37763325281524 1054.7471754863 0
"6" "2021-01-04" NA 6.65826862060329 946.593358604578 8.22658121269957 1042.32402449794 0
"7" "2021-01-05" NA 6.69396064779532 943.847964086943 8.15620084406928 1034.93085356197 0.1
"8" "2021-01-06" NA 6.71529968511808 942.196204699337 8.10239215084205 1030.04786986622 0
"9" "2021-01-07" NA 6.73041308164107 941.85510955628 8.06501412565559 1027.09526276528 0
"10" "2021-01-08" NA 6.74326150372451 941.564782898886 8.03106665248442 1024.59843621347 0
"11" "2021-01-09" NA 6.75338975508125 941.288414107898 7.9985703999789 1022.2272848708 0
"12" "2021-01-10" NA 6.76343854071752 940.959180432788 7.96856775644816 1019.87860863375 0
"13" "2021-01-11" NA 6.77908203520635 939.92798585404 7.93982441483344 1017.0597014442 0
"14" "2021-01-12" NA 6.8073008321145 937.124284471928 7.907734775302 1012.89859699611 0
"15" "2021-01-13" NA 6.85191066851914 931.277132623692 7.85760318728598 1006.36231534259 0
"16" "2021-01-14" NA 6.89822772402943 924.722067917676 7.79849453054211 998.998203054794 0
"17" "2021-01-15" NA 6.9353702676971 918.628342152372 7.73019407341314 991.982209286376 0
"18" "2021-01-16" NA 6.94703088302224 916.98505216972 7.68933258791511 988.438025852328 0
"19" "2021-01-17" NA 6.95923120085871 915.833691192006 7.66167289040652 985.976352396319 0
"20" "2021-01-18" NA 6.98515677587963 912.554008627613 7.62644125491084 982.175672614903 0
"21" "2021-01-19" NA 7.01781757532242 907.737442103549 7.5787279225257 977.060595319941 0
"22" "2021-01-20" NA 7.05141569077091 901.905909748867 7.52195121503377 971.066711274879 0
"23" "2021-01-21" NA 7.1545707217059 913.334233810154 10.0303069629766 983.321258766203 3.6
"24" "2021-01-22" NA 6.95004406417765 944.557304403783 10.3178667097434 1079.82793070271 5.9
"25" "2021-01-23" NA 6.50089271936536 985.472258067355 10.9285051745954 1209.91374657259 7.3
"26" "2021-01-24" NA 6.29568339398439 985.111720790464 10.917209185744 1236.65981041592 0
"27" "2021-01-25" NA 6.33200511345866 987.553670616075 9.81244154164911 1161.40196013056 3.6
"28" "2021-01-26" NA 6.26323937796923 988.645728674049 10.2196283631618 1188.13409731867 0.1
"29" "2021-01-27" NA 6.3009430193981 990.606943301004 9.57851783585541 1146.43810655054 2.5
"30" "2021-01-28" NA 6.27550485380213 988.254117602934 9.72354714104316 1153.76984797254 0.1
"31" "2021-01-29" NA 6.37038194901372 979.907281980954 9.24649197171336 1101.95812403466 0
"32" "2021-01-30" NA 6.52152406057725 972.469552467135 9.27727057168535 1076.56856361912 0
"33" "2021-01-31" NA 6.4468863171801 998.038117940156 9.87463967101118 1132.35781035337 6
"34" "2021-02-01" NA 6.20632318078755 1011.29078684705 10.7434820522458 1224.28381567329 1.8
"35" "2021-02-02" NA 6.23077963676011 999.913228670488 9.67594562025174 1153.17190664936 0
"36" "2021-02-03" NA 6.33714835156672 990.456396257295 9.46164635909732 1103.35078255813 0
"37" "2021-02-04" NA 6.54798188257798 983.645676821982 9.56655167701525 1078.28540277081 0.2
"38" "2021-02-05" NA 6.3906976481207 1022.69361078966 10.5922396775022 1184.78336441355 7.5
"39" "2021-02-06" NA 6.01611358800176 1031.49171356257 11.6115725234464 1310.7746599878 0
"40" "2021-02-07" NA 6.16623419019732 1007.74329502664 9.61642108463186 1153.37443673159 0
"41" "2021-02-08" NA 6.2528971337597 1002.03437922484 9.42273891877791 1119.3113491394 0.3
"42" "2021-02-09" NA 6.32953189725433 996.199155694283 9.25485378358329 1097.87472662804 0
"43" "2021-02-10" NA 6.42062456510751 989.079871981956 9.11927478835584 1076.78461110148 0
"44" "2021-02-11" NA 6.46281828348718 987.561318575978 9.06320785002838 1071.62490655388 1
"45" "2021-02-12" NA 6.4821425133798 982.139210511461 9.08569447470449 1069.65318773592 0
"46" "2021-02-13" NA 6.52144986504967 980.050797813023 8.85227748874309 1051.67154572656 0
"47" "2021-02-14" NA 6.54577631520211 979.546008280537 8.81210943399645 1047.14447960816 0
"48" "2021-02-15" NA 6.56311558518019 979.17735164782 8.76781039770263 1043.9429316474 0
"49" "2021-02-16" NA 6.57708867911346 978.827012971812 8.72508595262538 1040.91496487876 0
"50" "2021-02-17" NA 6.58910712835474 978.487674442497 8.68132672934011 1037.98610340829 0
"51" "2021-02-18" NA 6.59998730402807 978.15787375274 8.63850946182973 1035.1428575037 0
"52" "2021-02-19" NA 6.61039417326892 977.836979621791 8.58625513580378 1032.37944370279 0
"53" "2021-02-20" NA 6.62525870410346 977.524545889095 8.46541166142667 1029.69176321225 0
"54" "2021-02-21" NA 6.67578574277609 970.425807662365 8.34088725979285 1022.02358635937 0
"55" "2021-02-22" NA 6.73054832159538 960.702345114174 8.07384543639079 1011.72148020348 0
"56" "2021-02-23" NA 6.85993630961419 954.878548974001 10.3927608841169 1004.03346083318 0
"57" "2021-02-24" NA 6.94905726738172 949.355230473426 10.100285502165 997.23327922104 0
"58" "2021-02-25" NA 6.76145260940923 1033.98507755985 11.4543862604333 1140.70097714754 17.7
"59" "2021-02-26" NA 6.02484582414681 1144.67861044733 16.5788393056964 1605.66430464653 16
