gw_mix	percop	ratem	kex	kt	kdif	DTsoil 	DTwater	Kpwater	Kpsoil	Kpsed
0.748	0.154	0.4216	0.00374	1.0154	0.00428	67.988	6.86	0.0080172 	1632.04	0.01656048
0.748	0.154	0.4216	0.00401	1.0748	0.00077	73.064	6.86	0.0080172 	1632.04	0.01656048
0.415	0.28	0.0345	0.002075	1.028	0.00455	6.23	5.75	0.0266910 	106.55	0.00813965
0.991	0.568	0.0247	0.004955	1.0568	0.000635	85.754	6.26	0.0040157 	512.06	0.02270541
0.748	0.154	0.4216	0.00374	1.0802	0.00077	73.064	6.86	0.0080172 	1632.04	0.01656048
0.415	0.28	0.0345	0.002075	1.091	0.0014	6.23	5.75	0.0266910 	106.55	0.00813965
0.748	0.154	0.3922	0.00428	1.0748	0.00077	73.064	6.86	0.0080172 	1632.04	0.01656048
0.946	0.442	0.0982	0.00473	1.0442	0.00131	81.524	5.84	0.0240233 	125.86	0.02156746
0.262	0.712	0.0786	0.00482	1.0712	0.00113	83.216	6.74	0.0186879 	1863.76	0.01565012
0.793	0.118	0.0296	0.003605	1.0793	0.00068	60.374	7.01	0.0053496 	1342.39	0.01769843
0.424	0.298	0.0492	0.00212	1.0298	0.00086	74.756	5.78	0.0293586 	164.48	0.00836724
0.793	0.136	0.0198	0.003605	1.0793	0.00068	60.374	7.01	0.0053496 	1342.39	0.01769843
0.433	0.658	0.1276	0.000995	1.0433	0.00158	11.306	5.81	0.0320263 	222.41	0.00859483
0.253	0.244	0.2501	0.001265	1.0244	0.002705	16.382	6.44	0.0213556 	956.19	0.00404303
0.721	0.208	0.4657	0.003605	1.0208	0.004685	60.374	5.06	0.0080172 	1805.83	0.01587771
0.793	0.136	0.3481	0.003965	1.0136	0.003605	67.142	4.76	0.0053496 	1342.39	0.01769843
1	0.55	0.01	0.005	1.055	5.00E-04	86.6	6.2	0.0000142 	1941	0.0115535
0.361	0.172	0.0737	0.001805	1.0172	0.001085	26.534	4.94	0.0173541 	1052.74	0.00677411
0.991	0.568	0.0247	0.004955	1.0568	0.000635	85.754	6.26	0.0346940 	67.93	0.02270541
0.253	0.244	0.2942	0.002705	1.0253	0.00122	43.454	5.21	0.0213556 	956.19	0.00404303
0.442	0.766	0.0786	0.00221	1.0766	0.00113	34.148	6.92	0.0186879 	1207.22	0.00882242
0.982	0.343	0.0296	0.001355	1.0343	0.00068	18.074	5.51	0.0053496 	376.89	0.00631893
0.802	0.154	0.3334	0.00401	1.0298	0.00077	57.836	7.04	0.0080172 	1284.46	0.01792602
0.748	0.802	0.0394	0.00428	1.0748	0.00077	73.064	6.86	0.0080172 	1632.04	0.01656048
0.802	0.154	0.3334	0.00401	1.0154	0.00149	57.836	7.04	0.0080172 	1284.46	0.01792602
0.253	0.244	0.2501	0.00311	1.0253	0.00122	43.454	5.21	0.0213556 	956.19	0.00404303
0.253	0.244	0.2501	0.001265	1.0244	0.002705	51.068	5.21	0.0213556 	956.19	0.00404303
0.253	0.244	0.2501	0.001265	1.0244	0.00311	43.454	5.21	0.0213556 	956.19	0.00404303
0.253	0.622	0.0884	0.002705	1.0253	0.00122	43.454	5.21	0.0213556 	956.19	0.00404303
0.442	0.334	0.0786	0.00221	1.0334	0.00113	34.148	5.48	0.0186879 	743.78	0.00882242
0.442	0.334	0.0786	0.00221	1.0334	0.00113	34.148	5.48	0.0186879 	743.78	0.00882242
0.802	0.154	0.3334	0.00401	1.0154	0.00347	20.612	7.04	0.0080172 	1284.46	0.01792602
0.478	0.397	0.0884	0.000545	1.0397	0.00122	2.846	5.69	0.0213556 	29.31	0.00768447
0.802	0.154	0.3334	0.00149	1.0802	0.00077	57.836	7.04	0.0080172 	1284.46	0.01792602
0.334	0.982	0.1178	0.00167	1.0982	0.00149	23.996	7.64	0.0293586 	512.06	0.00609134
0.334	0.982	0.1178	0.00167	1.0982	0.00149	23.996	7.64	0.0293586 	512.06	0.00609134
0.397	0.244	0.0149	0.001985	1.0244	0.000545	29.918	5.18	0.0560354 	29.31	0.00768447
0.253	0.244	0.2501	0.001265	1.0622	0.00122	43.454	5.21	0.0213556 	956.19	0.00404303
0.487	0.676	0.1521	0.002435	1.0676	0.001805	38.378	6.62	0.0240233 	569.99	0.00996037
0.64	0.37	0.402	0.0032	1.037	0.0041	52.76	5.6	0.0133526 	1554.8	0.0138294
0.406	0.262	0.0198	0.00203	1.0694	0.00131	3.692	5.72	0.0240233 	48.62	0.00791206
0.352	0.154	0.0884	0.00176	1.0154	0.00122	25.688	4.88	0.0213556 	550.68	0.01792602
0.406	0.262	0.0198	0.00347	1.0406	0.00131	3.692	5.72	0.0240233 	48.62	0.00791206
0.424	0.298	0.0492	0.00437	1.0424	0.00149	8.768	5.78	0.0293586 	164.48	0.00836724
0.451	0.748	0.0933	0.002255	1.0748	0.001265	34.994	6.86	0.0226894 	763.09	0.01974674
0.739	0.172	0.4363	0.003695	1.0586	0.00086	75.602	6.83	0.0106849 	1689.97	0.01633289
0.739	0.172	0.4363	0.003695	1.0172	0.00293	75.602	6.83	0.0106849 	1689.97	0.01633289
0.424	0.298	0.0492	0.00212	1.0298	0.00437	8.768	5.78	0.0293586 	164.48	0.00836724
0.739	0.172	0.4363	0.003695	1.0172	0.004415	47.684	6.83	0.0106849 	1689.97	0.01633289
0.739	0.172	0.4363	0.00293	1.0739	0.00086	75.602	6.83	0.0106849 	1689.97	0.01633289
0.406	0.262	0.0198	0.00203	1.0262	0.00347	3.692	5.72	0.0240233 	48.62	0.00791206
0.424	0.298	0.0492	0.00212	1.0874	0.00149	8.768	5.78	0.0293586 	164.48	0.00836724
0.406	0.856	0.0982	0.00266	1.0856	0.00131	42.608	7.22	0.0240233 	936.88	0.01929156
0.334	0.991	0.2648	0.000635	1.0991	0.00284	4.538	7.67	0.0693738 	67.93	0.02270541
0.244	0.262	0.2648	0.00122	1.0262	0.00284	15.536	5.72	0.0240233 	1014.12	0.00381544
0.739	0.172	0.4363	0.003695	1.0172	0.004415	62.066	6.32	0.0106849 	1689.97	0.01633289
0.802	0.154	0.1178	0.00347	1.0802	0.00077	57.836	7.04	0.0080172 	1284.46	0.01792602
0.802	0.748	0.0394	0.00428	1.0748	0.00077	73.064	6.86	0.0080172 	1632.04	0.01656048
0.325	1	0.1325	0.001625	1.1	0.001625	23.15	7.7	0.0333602 	492.75	0.0115535
0.802	0.154	0.3334	0.00401	1.0154	0.00347	67.988	5.36	0.0080172 	1284.46	0.01792602
0.244	0.262	0.2648	0.00203	1.0244	0.00131	45.992	5.18	0.0240233 	1014.12	0.00381544
0.802	0.298	0.0394	0.00347	1.0802	0.00077	57.836	7.04	0.0080172 	1284.46	0.01792602
0.244	0.262	0.2648	0.00122	1.0262	0.00203	45.992	5.18	0.0240233 	1014.12	0.00381544
0.244	0.262	0.2648	0.00122	1.0262	0.00284	30.764	5.18	0.0240233 	1014.12	0.00381544
0.244	0.262	0.2648	0.00122	1.0406	0.00131	45.992	5.18	0.0240233 	1014.12	0.00381544
0.739	0.172	0.2746	0.004415	1.0739	0.00086	75.602	6.83	0.0106849 	1689.97	0.01633289
0.433	0.316	0.0639	0.002165	1.0316	0.000995	33.302	6.56	0.0320263 	222.41	0.00859483
0.334	0.982	0.1178	0.00167	1.0982	0.00149	23.996	7.64	0.0346940 	434.82	0.00609134
0.19	0.865	0.108	0.002525	1.0865	0.0014	40.07	7.25	0.0266910 	878.95	0.01951915
0.244	0.262	0.1766	0.00284	1.0244	0.00131	45.992	5.18	0.0240233 	1014.12	0.00381544
0.163	0.424	0.3971	0.000815	1.0424	0.004055	7.922	5.78	0.0240233 	1535.49	0.00176713
0.694	0.406	0.0982	0.00059	1.0406	0.00131	3.692	5.72	0.0240233 	48.62	0.00791206
0.244	0.406	0.0982	0.00284	1.0244	0.00131	45.992	5.18	0.0240233 	1014.12	0.00381544
0.676	0.802	0.4608	0.00338	1.0802	0.00464	56.144	7.04	0.0186879 	1786.52	0.01473976
0.739	0.586	0.0492	0.004415	1.0739	0.00086	75.602	6.83	0.0106849 	1689.97	0.01633289
0.433	0.316	0.0639	0.002165	1.0316	0.000995	54.452	5.81	0.0320263 	222.41	0.00859483
0.397	0.244	0.0149	0.001985	1.0478	0.00122	2.846	5.69	0.0213556 	29.31	0.00768447
0.397	0.244	0.0149	0.00239	1.0397	0.00122	2.846	5.69	0.0213556 	29.31	0.00768447
0.91	0.73	0.157	0.00455	1.073	0.00185	78.14	6.8	0.0133526 	589.3	0.0206571
0.811	0.172	0.3187	0.004055	1.0514	0.00086	55.298	7.07	0.0106849 	1226.53	0.01815361
0.352	0.154	0.0884	0.00176	1.0154	0.00122	25.688	4.88	0.0213556 	1516.18	0.00654652
0.811	0.172	0.3187	0.004055	1.0172	0.00257	55.298	7.07	0.0106849 	1226.53	0.01815361
0.397	0.244	0.0149	0.001985	1.0244	0.00239	2.846	5.69	0.0213556 	29.31	0.00768447
0.811	0.172	0.3187	0.004055	1.0172	0.003335	40.916	7.07	0.0106849 	1226.53	0.01815361
0.226	0.874	0.1178	0.00239	1.0874	0.00149	37.532	7.28	0.0293586 	821.02	0.01974674
0.451	0.352	0.0933	0.002255	1.0352	0.001265	34.994	5.54	0.0226894 	763.09	0.00336026
0.73	0.19	0.451	0.00365	1.037	0.00095	78.14	6.8	0.0133526 	1747.9	0.0161053
0.73	0.82	0.059	0.0032	1.082	0.00095	52.76	7.1	0.0133526 	1168.6	0.0183812
0.73	0.19	0.451	0.00365	1.019	0.00185	78.14	6.8	0.0133526 	1747.9	0.0161053
0.811	0.172	0.3187	0.00257	1.0811	0.00086	55.298	7.07	0.0106849 	1226.53	0.01815361
0.316	0.982	0.1472	0.00158	1.0982	0.00176	22.304	7.64	0.0373617 	473.44	0.01701566
0.73	0.19	0.451	0.00365	1.019	0.00455	27.38	6.8	0.0133526 	1747.9	0.0161053
0.73	0.19	0.451	0.00185	1.073	0.00095	78.14	6.8	0.0133526 	1747.9	0.0161053
0.343	0.136	0.1031	0.001715	1.0136	0.001355	24.842	4.82	0.0253571 	531.37	0.02247782
0.451	0.748	0.0933	0.002255	1.0748	0.001265	34.994	6.86	0.0226894 	1670.66	0.00905001
0.478	0.703	0.0884	0.004955	1.0703	0.00122	85.754	6.71	0.0213556 	1921.69	0.01542253
0.235	0.28	0.2795	0.001175	1.019	0.0014	48.53	5.15	0.0266910 	1072.05	0.00358785
0.433	0.316	0.0639	0.00329	1.0433	0.00158	11.306	5.81	0.0320263 	222.41	0.00859483
0.235	0.28	0.2795	0.00095	1.0235	0.0014	48.53	5.15	0.0266910 	1072.05	0.00358785
0.235	0.28	0.2795	0.001175	1.028	0.00095	48.53	5.15	0.0266910 	1072.05	0.00358785
0.433	0.316	0.0639	0.002165	1.0316	0.00329	11.306	5.81	0.0320263 	222.41	0.00859483
0.811	0.172	0.2354	0.003335	1.0811	0.00086	55.298	7.07	0.0106849 	1226.53	0.01815361
0.442	0.334	0.1962	0.00113	1.0442	0.00167	13.844	5.84	0.0346940 	280.34	0.00882242
0.235	0.28	0.2795	0.001175	1.028	0.002975	10.46	5.15	0.0266910 	1072.05	0.00358785
0.46	0.73	0.108	0.0023	1.073	0.0014	35.84	6.8	0.0266910 	782.4	0.0206571
0.433	0.316	0.0639	0.002165	1.0658	0.00158	11.306	5.81	0.0320263 	222.41	0.00859483
0.235	0.28	0.2795	0.001175	1.028	0.002975	14.69	5	0.0266910 	1072.05	0.00358785
0.811	0.172	0.3187	0.004055	1.0172	0.003335	68.834	6.08	0.0106849 	1226.53	0.01815361
0.442	0.442	0.1374	0.00113	1.0442	0.00167	13.844	5.84	0.0346940 	280.34	0.00882242
0.442	0.442	0.1374	0.00113	1.0442	0.00167	13.844	5.84	0.0346940 	280.34	0.00882242
0.991	0.532	0.0247	0.004955	1.0532	0.000635	85.754	6.14	0.0040157 	1438.94	0.02270541
0.811	0.514	0.0492	0.003335	1.0811	0.00086	55.298	7.07	0.0106849 	1226.53	0.01815361
0.406	0.244	0.0982	0.00284	1.0244	0.00131	45.992	5.18	0.0240233 	1014.12	0.00381544
0.73	0.28	0.059	0.0023	1.028	0.00095	35.84	5.3	0.0133526 	782.4	0.0047258
0.73	0.19	0.451	0.00365	1.019	0.00455	61.22	5.6	0.0133526 	1747.9	0.0161053
0.307	0.964	0.1619	0.001535	1.0964	0.001895	21.458	7.58	0.0413632 	454.13	0.02247782
0.991	0.568	0.0247	0.004955	1.0568	0.000635	85.754	6.26	0.0040157 	1921.69	0.00609134
0.982	0.757	0.0296	0.004145	1.0757	0.00068	70.526	6.89	0.0053496 	1574.11	0.01678807
0.991	0.532	0.0247	0.004955	1.0532	0.000635	85.754	6.14	0.0040157 	1921.69	0.01701566
0.73	0.19	0.157	0.00455	1.073	0.00095	78.14	6.8	0.0133526 	1747.9	0.0161053
0.91	0.415	0.108	0.000725	1.0415	0.0014	6.23	5.75	0.0266910 	106.55	0.00813965
0.226	0.451	0.1472	0.001265	1.0451	0.00176	16.382	5.87	0.0373617 	338.27	0.00905001
0.235	0.19	0.108	0.002975	1.0235	0.0014	48.53	5.15	0.0266910 	1072.05	0.00358785
0.721	0.208	0.4657	0.003605	1.0208	0.00077	80.678	6.77	0.0160203 	1805.83	0.01587771
