gw_mix	percop	ratem	kex	kt	kdif	DTsoil 	DTwater	Kpwater	Kpsoil	Kpsed
0.406	0.262	0.0198	0.00203	1.0262	0.00059	57.836	5.72	0.0240233 	48.62	0.00791206
0.307	0.136	0.1619	0.001535	1.0118	0.00068	28.226	5.39	0.0053496 	608.61	0.00540857
0.307	0.136	0.1619	0.001535	1.0136	0.00059	28.226	5.39	0.0053496 	608.61	0.00540857
0.307	0.136	0.1619	0.00059	1.0307	0.00068	28.226	5.39	0.0053496 	608.61	0.00540857
0.361	0.172	0.2746	0.001085	1.0361	0.00086	12.998	5.57	0.0106849 	261.03	0.00677411
0.424	0.802	0.0492	0.00212	1.0802	0.00086	32.456	7.04	0.0106849 	280.34	0.00836724
0.307	0.136	0.1619	0.001535	1.0136	0.001895	21.458	4.76	0.0053496 	608.61	0.00540857
0.406	0.262	0.0198	0.00203	1.0262	0.00059	30.764	5.24	0.0026819 	1284.46	0.00791206
0.307	0.136	0.1619	0.001535	1.0136	0.001895	3.692	5.39	0.0053496 	608.61	0.00540857
0.352	0.154	0.0884	0.00176	1.0154	0.00122	25.688	7.04	0.0080172 	318.96	0.00654652
0.757	0.964	0.4069	0.003785	1.0964	0.004145	63.758	7.58	0.0026819 	1574.11	0.01678807
0.406	0.262	0.0198	0.00203	1.0262	0.00059	30.764	6.68	0.0240233 	48.62	0.00791206
0.352	0.154	0.0884	0.00176	1.0154	0.00122	67.988	5.54	0.0080172 	318.96	0.00654652
0.307	0.118	0.0296	0.001895	1.0307	0.00068	28.226	5.39	0.0053496 	608.61	0.00540857
0.307	0.136	0.0198	0.001895	1.0307	0.00068	28.226	5.39	0.0053496 	608.61	0.00540857
0.361	0.586	0.0492	0.001085	1.0361	0.00086	12.998	5.57	0.0106849 	261.03	0.00677411
0.352	0.154	0.0884	0.00401	1.0352	0.00077	15.536	5.54	0.0080172 	318.96	0.00654652
0.352	0.154	0.0884	0.00176	1.0154	0.00401	15.536	5.54	0.0080172 	318.96	0.00654652
0.415	0.28	0.451	0.000725	1.0415	0.0014	6.23	5.75	0.0266910 	106.55	0.00813965
0.496	0.658	0.1668	0.00248	1.0658	0.00194	39.224	6.56	0.0080172 	627.92	0.01018796
0.415	0.82	0.0345	0.002075	1.082	0.000725	31.61	7.1	0.0066834 	685.85	0.0024499
0.352	0.154	0.0884	0.00176	1.0802	0.00077	15.536	5.54	0.0080172 	318.96	0.00654652
0.388	0.226	0.0296	0.00194	1.0226	0.00068	29.072	5.12	0.0053496 	627.92	0.00427062
0.388	0.874	0.0296	0.00194	1.0874	0.00068	29.072	7.28	0.0053496 	1593.42	0.00745688
0.361	0.172	0.0737	0.001805	1.0172	0.001085	26.534	6.32	0.0106849 	261.03	0.00677411
0.388	0.226	0.0296	0.00194	1.0226	0.00068	29.072	5.24	0.0186879 	87.24	0.00745688
0.361	0.172	0.0737	0.001805	1.0172	0.001085	47.684	5.57	0.0106849 	261.03	0.00677411
0.37	0.19	0.157	0.00095	1.037	0.00095	10.46	5.6	0.0133526 	203.1	0.0070017
0.298	0.154	0.1766	0.00149	1.0154	0.00149	30.764	5.36	0.0080172 	666.54	0.00518098
0.298	0.154	0.1766	0.00149	1.0298	0.00077	30.764	5.36	0.0080172 	666.54	0.00518098
0.298	0.154	0.1766	0.00149	1.0298	0.00077	30.764	5.36	0.0080172 	666.54	0.00518098
0.298	0.154	0.1766	0.00149	1.0154	0.00203	20.612	5.36	0.0080172 	666.54	0.00518098
0.298	0.154	0.1766	0.00149	1.0154	0.00203	20.612	5.36	0.0080172 	666.54	0.00518098
0.379	0.892	0.0443	0.001895	1.0892	0.000815	28.226	7.34	0.0093511 	608.61	0.02156746
0.424	0.802	0.0492	0.00212	1.0802	0.00086	32.456	7.04	0.0186879 	164.48	0.00836724
0.154	0.442	0.4118	0.00077	1.0442	0.00419	7.076	5.84	0.0080172 	1593.42	0.00153954
0.361	0.172	0.0737	0.00293	1.0361	0.00086	12.998	5.57	0.0106849 	261.03	0.00677411
0.361	0.172	0.0737	0.001805	1.0172	0.00293	12.998	5.57	0.0106849 	261.03	0.00677411
0.37	0.37	0.059	0.00095	1.037	0.00095	10.46	5.6	0.0133526 	203.1	0.0070017
0.37	0.37	0.059	0.00095	1.037	0.00095	10.46	5.6	0.0133526 	203.1	0.0070017
0.388	0.226	0.0296	0.00194	1.0226	0.00068	17.228	5.66	0.0186879 	87.24	0.00745688
0.361	0.172	0.0737	0.001805	1.0586	0.00086	12.998	5.57	0.0106849 	261.03	0.00677411
