DATE	1	2	3	4	5
2016-03-24	15.5125	14.67083333	13.74583333	15.77916667	14.32916667
2016-03-25	17.9625	17.675	17.675	18.15416667	17.49166667
2016-03-26	17.70416667	17.99166667	18.82083333	17.8625	17.38333333
2016-03-27	9.633333333	10.0875	10.0875	10.18333333	10.2375
2016-03-28	6.15	6.616666667	6.504166667	6.4875	6.541666667
2016-03-29	5.45	5.770833333	5.558333333	5.891666667	5.9
2016-03-30	8.191666667	8.5875	8.5875	8.216666667	8.270833333
2016-03-31	9.558333333	9.820833333	9.770833333	9.641666667	9.770833333
2016-04-01	11.84583333	11.97083333	11.42916667	12.08333333	11.9375
2016-04-02	13.5125	13.65	12.9	13.59583333	13.52083333
2016-04-03	14.11666667	13.63333333	13.63333333	13.825	13.15416667
2016-04-04	14.45833333	13.57083333	13.57083333	14.025	13.24583333
2016-04-05	12.95416667	12.95	12.95	12.96666667	12.51666667
2016-04-06	14.64166667	14.29166667	14.30416667	14.62916667	13.79166667
2016-04-07	13.9375	13.07083333	9.8375	14.45833333	12.74583333
2016-04-08	15.57916667	14.12083333	9.629166667	15.4125	14.15833333
2016-04-09	18.76666667	16.90833333	12.05833333	17.77083333	15.6375
2016-04-10	15.28333333	15.71666667	14.70416667	16.00416667	15.73333333
2016-04-11	8.875	9.316666667	9.279166667	9.433333333	9.283333333
2016-04-12	13.2875	13.3	13.04583333	13.79166667	13.675
2016-04-13	13.87916667	12.95	13.0625	13.77083333	12.32916667
2016-04-14	16.1	14.89583333	14.81666667	15.475	14.72083333
2016-04-15	18.58333333	18.24166667	17.1	19.125	17.92916667
2016-04-16	21.72083333	21.12083333	19.86666667	21.92916667	19.55833333
2016-04-17	19.91666667	19.525	19.61666667	20.325	19.02083333
2016-04-18	14.84583333	15.05416667	8.116666667	15.40416667	14.86666667
2016-04-19	13.29583333	13.55	7.8875	13.61666667	13.52083333
2016-04-20	15.10416667	14.975	12.79166667	15.05833333	15.0625
2016-04-21	14.4	14.4125	14.42083333	14.6125	14.47083333
2016-04-22	15.50833333	15.7125	15.87083333	15.90833333	15.24166667
2016-04-23	13.37083333	13.34583333	13.50833333	13.80416667	13.04583333
2016-04-24	5.641666667	5.416666667	5.416666667	5.670833333	5.55
2016-04-25	19.9625	19.61666667	18.875	19.59166667	18.42916667
2016-04-26	21.00833333	20.77916667	20.92916667	21.1	19.62083333
2016-04-27	15.025	15.29166667	15.68333333	16.1	15.54166667
2016-04-28	16.22916667	15.3875	15.45416667	16.84583333	15.4125
2016-04-29	21.67916667	20.32083333	20.32083333	20.88333333	18.60416667
2016-04-30	23.77916667	22.89583333	23.9	24.40833333	21.575
2016-05-01	22.07916667	21.74166667	21.62916667	21.40833333	21.27916667
2016-05-02	24.93333333	24.9	24.73333333	25.01666667	23.79583333
2016-05-03	28.01666667	27.84166667	27.84166667	27.98333333	26.41666667
2016-05-04	28.12083333	27.55833333	27.55833333	28.17916667	25.46666667
2016-05-05	17.25416667	17.58333333	18.3875	18.1125	17.80416667
2016-05-06	17.9875	18.41666667	18.41666667	18.69166667	18.3375
2016-05-07	21.84166667	22.24166667	21.15416667	22.22916667	22.1
2016-05-08	21.13333333	21.275	21.275	21.77916667	21.46666667
2016-05-09	17.625	17.92916667	17.175	18.57083333	18.325
2016-05-10	18.475	18.60416667	19.48333333	18.72083333	18.22916667
2016-05-11	20.9	20.6125	20.6125	21.49166667	20.52083333
2016-05-12	21.2875	20.99583333	20.99583333	21.4875	20.85833333
2016-05-13	24.08333333	22.6875	22.6875	23.77916667	22.34583333
2016-05-14	21.69583333	21.54166667	21.54166667	22.3375	22.03333333
2016-05-15	21.02083333	21.25	21.25	21.4	20.94583333
2016-05-16	23.32083333	23.18333333	23.22916667	23.95	22.475
2016-05-17	26.225	26.275	26.125	26.50833333	25.58333333
2016-05-18	23.20833333	23.4125	23.29166667	23.87916667	23.19166667
2016-05-19	22.15416667	21.45833333	20.44583333	22.31666667	21.09166667
2016-05-20	23.5125	23.24166667	21.6	23.45	22.84166667
2016-05-21	25.52083333	25.73333333	25.71666667	26.07916667	24.65833333
2016-05-22	24.82083333	24.99583333	24.75416667	25.35	24.72916667
2016-05-23	26.5125	26.4875	27.05416667	27.04166667	26.6625
2016-05-24	26.64583333	26.69166667	26.69166667	27.5	26.53333333
2016-05-25	22.74583333	23.525	23.525	23.4125	22.2125
2016-05-26	22.00833333	22.47916667	22.61666667	22.225	21.97083333
2016-05-27	26.12916667	26.5	26.5625	26.20416667	25.475
2016-05-28	26.41666667	26.55	26.75416667	26.04166667	25.5125
2016-05-29	23.2125	23.5125	23.475	23.49166667	23.69583333
2016-05-30	20.6125	21.9875	21.95833333	22.0875	21.95833333
2016-05-31	24.79583333	24.9	24.95	24.85416667	24.4375
2016-06-01	27.57916667	27.87916667	27.55416667	27.95416667	27.44583333
2016-06-02	26.2	26.57916667	28.99166667	26.35	25.5125
2016-06-03	27.87083333	28.35	28.35	27.64166667	26.9625
2016-06-04	28.35416667	28.60833333	28.53333333	28.3375	27.9875
2016-06-05	24.075	24.62083333	24.8375	24.9375	24.4625
2016-06-06	24.07083333	24.08333333	23.625	24.69583333	24.2125
2016-06-07	26.00833333	26.1875	26.25	26.64166667	26.29166667
2016-06-08	26.5125	26.9375	26.925	27.00416667	26.875
2016-06-09	27.27083333	27.9375	27.975	27.875	27.69583333
2016-06-10	25.47916667	25.9875	25.8625	26.1875	25.6625
2016-06-11	26.16666667	26.47083333	26.47083333	26.6375	26.19166667
2016-06-12	23.59583333	24.075	22.84166667	24.4125	24.17916667
2016-06-13	25.2125	25.54583333	25.54583333	25.83333333	25.62916667
2016-06-14	26.25416667	26.63333333	24.35416667	26.34166667	26.23333333
2016-06-15	25.725	25.9875	26.00833333	25.9	25.74166667
2016-06-16	23.3375	23.87083333	24.04166667	24.175	23.7625
2016-06-17	26.85416667	27.15416667	27.0875	27.8125	27.31666667
2016-06-18	20.53333333	20.89583333	21.85833333	20.95416667	20.60416667
2016-06-19	23.45833333	22.39583333	22.54166667	23.92916667	22.42916667
2016-06-20	15.89583333	15.98333333	14.1875	16.02083333	15.79166667
2016-06-21	19.9875	17.57916667	15.72916667	20.225	17.3875
2016-06-22	22.08333333	22.37083333	19.475	21.67916667	22.40833333
2016-06-23	17.37916667	19.5875	5.820833333	17.47083333	19.49166667
2016-06-24	22.30416667	23.57916667	10.58333333	23.04166667	22.525
2016-06-25	25.7125	26.9375	26.9375	26.925	26.4125
2016-06-26	27.75416667	27.67083333	27.4875	28.41666667	28.17916667
2016-06-27	27.4875	27.85833333	27.85833333	27.52083333	27.34166667
2016-06-28	25.20416667	25.63333333	25.57916667	25.81666667	25.54166667
2016-06-29	25.40416667	25.70833333	25.71666667	26.20833333	25.9125
2016-06-30	25.375	25.825	25.7625	26.09583333	25.45
2016-07-01	24.38333333	26.89166667	27.05416667	26.25833333	27.04166667
2016-07-02	20.625	22.95	22.975	21.32916667	23.075
2016-07-03	23.45416667	23.39166667	24.47916667	24.0375	23.79166667
2016-07-04	24.2875	24.75416667	24.75416667	24.90833333	24.69583333
2016-07-05	25.31666667	25.8	25.6875	25.72083333	25.525
2016-07-06	26.42083333	26.65416667	9.733333333	26.04166667	25.83333333
2016-07-07	26.5875	26.93333333	6.679166667	26.70416667	26.375
2016-07-08	23.87916667	24.25416667	26.49166667	23.86666667	23.85416667
2016-07-09	24.74583333	26.39166667	26.37916667	25.4125	26.14583333
2016-07-10	25.17083333	26.88333333	26.88333333	25.66666667	26.775
2016-07-11	22.10833333	25.67083333	25.70833333	22.78333333	26.07083333
2016-07-12	20.79583333	27.3375	27.35	23.38333333	27.57916667
2016-07-13	22.91666667	23.26666667	23.24583333	23.34166667	23.14583333
2016-07-14	21.79166667	23.2875	20.37083333	22.20416667	23.0375
2016-07-15	19.73333333	21.075	13.94583333	19.25416667	20.09166667
2016-07-16	18.20833333	21.51666667	22.35416667	19.44583333	21.32083333
2016-07-17	20.0625	22.74583333	23.69166667	22.81666667	23.7625
2016-07-18	19.425	24.52916667	24.53333333	22.55	24.5
2016-07-19	14.95833333	21.90416667	22.8375	18.87916667	21.775
2016-07-20	17.05416667	24.99166667	24.97916667	17.06666667	24.69166667
2016-07-21	17.325	22.46666667	24.59583333	18.50416667	22.5375
2016-07-22	17.22916667	23.0625	24.31666667	16.96666667	22.97083333
2016-07-23	19.09583333	22.3875	22.175	19.29166667	22.3875
2016-07-24	21.5	21.69166667	21.8625	21.87083333	21.7875
2016-07-25	24.61666667	24.8625	25.00416667	24.5125	24.36666667
2016-07-26	24.3	24.48333333	24.59583333	24.94583333	24.8875
2016-07-27	23.4125	23.825	23.825	23.875	23.7125
2016-07-28	24.95833333	25.42916667	25.39166667	25.33333333	25.27916667
