date	1	2	3	4	5
2016-05-16	0.100000008	0.100000008	0.100000008	0.100000008	0.100000008
2016-05-17	0	0	0	0	0
2016-05-18	0	0	0	0	0
2016-05-19	0	0	0	0	0
2016-05-20	5.40000024	5.7	5.7	6.70000008	5.7
2016-05-21	19.7000016	17.7	24.1999992	34.9000032	17.7
2016-05-22	1.400000016	1.69999992	1.100000016	1.100000016	1.69999992
2016-05-23	0.100000008	0	0	0.200000016	0
2016-05-24	0	0	0	0	0
2016-05-25	0	0	0	0	0
2016-05-26	3	5.1999996	2.700000096	1.69999992	5.1999996
2016-05-27	29.2999992	36	35.0000016	34.2000024	36
2016-05-28	0.100000008	0.100000008	0.80000004	1.299999912	0.100000008
2016-05-29	0	0	0	0	0
2016-05-30	0	0	0	0	0
2016-05-31	0.500000016	0.899999952	0	0.6	0.899999952
2016-06-01	8.6000004	11.1	17.6000004	36.7000008	11.1
2016-06-02	0.3	0.200000016	0.899999952	0.6	0.200000016
2016-06-03	6.09999984	5.40000024	4.69999992	10.6000008	5.40000024
2016-06-04	0	0.200000016	0	0	0.200000016
2016-06-05	0.3	0.400000032	0.200000016	0.3	0.400000032
2016-06-06	0.100000008	0	0.3	0	0
2016-06-07	0	0	0	0	0
2016-06-08	0.400000032	0.3	0.200000016	0.3	0.3
2016-06-09	0	0	0	0	0
2016-06-10	0	0	0	0	0
2016-06-11	0	0	0	0	0
2016-06-12	6	7.09999968	10.30000008	9.70000008	7.09999968
2016-06-13	0	0	0	0	0
2016-06-14	0	0	0	0	0
2016-06-15	0	0.80000004	0.100000008	0.100000008	0.80000004
2016-06-16	0	0	0	0.100000008	0
2016-06-17	0	0	0	0	0
2016-06-18	0	0	0	0	0
2016-06-19	0	0	0	0	0
2016-06-20	22.7000016	0	26.4	25.6000008	0
2016-06-21	8.00000016	0	21.7999992	13.3000008	0
2016-06-22	21.7999992	6.99999984	29.5999992	7.30000008	6.99999984
2016-06-23	0.3	0	0	0	0
2016-06-24	22.7000016	23.5000008	22.2999984	21.7999992	23.5000008
2016-06-25	12.89999904	16.2	22.7000016	24.1999992	16.2
2016-06-26	0.500000016	0.100000008	0.500000016	1.400000016	0.100000008
2016-06-27	24.9999984	29.5999992	36.6	33.4000032	29.5999992
2016-06-28	1.5	2.000000064	1.299999912	2.000000064	2.000000064
2016-06-29	0	0	0	0.100000008	0
2016-06-30	0	0	0	0	0
2016-07-01	141.9	162.9	182.899992	245.300016	162.9
2016-07-02	28.3000008	33.9	37.7999976	90.3	33.9
2016-07-03	6.9	7.40000016	15.09999984	14.10000096	7.40000016
2016-07-04	53.7999984	60.0999984	59.5000008	63.0999984	60.0999984
2016-07-05	7.80000048	8.69999952	9.30000048	22.8	8.69999952
2016-07-06	3.20000016	3.79999992	5.40000024	5.59999992	3.79999992
2016-07-07	2.000000064	1.69999992	1.5	1.899999984	1.69999992
2016-07-08	0	0	0	0	0
2016-07-09	0	0	0	0	0
2016-07-10	0	0	0	0	0
2016-07-11	0	0	0	0	0
2016-07-12	0	0	0	0	0
2016-07-13	1.400000016	0.899999952	0.899999952	0.100000008	0.899999952
2016-07-14	1.5	0	0.899999952	2.59999992	0
2016-07-15	18.60000096	24.1000008	24.7000008	10.69999992	24.1000008
2016-07-16	0	0	0	0.100000008	0
2016-07-17	0	0	0	0	0
2016-07-18	0	0	1.400000016	0.100000008	0
2016-07-19	2.80000008	0	1.400000016	1.000000032	0
2016-07-20	0	0	0	0	0
2016-07-21	0.100000008	0	0	0	0
2016-07-22	0	0	0	0	0
2016-07-23	0	0	0	0	0
2016-07-24	0	0	0	0	0
2016-07-25	0	0	0	0	0
2016-07-26	0	0	0	0	0
2016-07-27	0.3	0	0	0	0
2016-07-28	0	0	0	0	0
2016-07-29	0	0	0	0	0
2016-07-30	0	0	0	0	0
2016-07-31	0	0	0	0	0
2016-08-01	0	0	0	0	0
2016-08-02	7.80000048	2.000000064	14.39999904	0.500000016	2.000000064
2016-08-03	24.4000008	3.20000016	6.40000032	6.40000032	3.20000016
2016-08-04	6.09999984	0	1.000000032	0.3	0
2016-08-05	8.49999984	0	2.59999992	0	0
2016-08-06	0	0	0	0	0
2016-08-07	0.100000008	0	0	0	0
2016-08-08	0	0	0	0	0
2016-08-09	0	0	0	0	0
2016-08-10	0	0	0	0	0
2016-08-11	0	0	0	0	0
2016-08-12	0	0	0	0	0
2016-08-13	0	0	0	0	0
2016-08-14	0	0	0	0	0
2016-08-15	0	0	0	0	0
2016-08-16	0	0	0	0	0
2016-08-17	0	0	0	0	0
2016-08-18	0	0	0	0	0
2016-08-19	0	0	0	0.100000008	0
2016-08-20	0	0	0	0	0
2016-08-21	0.6	0	0	0.100000008	0
2016-08-22	2.59999992	0	0	3.20000016	0
2016-08-23	0	0	0	0	0
