date	TC	DXC	OTC	CTC
2021-03-13	16.72727273	3	5.545454545	0
2021-04-17	8.086956522	27.73913043	5.130434783	10.34782609
2021-05-28	11.90909091	5	5.545454545	8.727272727
2021-06-19	9.090909091	4.090909091	3.545454545	7
2021-07-20	9.1	5.7	5.1	8.2
2021-08-31	8.636363636	4.454545455	3.818181818	13.63636364
2021-09-16	7.818181818	4.181818182	4.454545455	11.18181818
2021-10-25	10.28846154	7.403846154	4.326923077	9.519230769
